name,winner,contains_dot,contains_dash,num_parts_odd_even,ratio_of_first_to_last,ratio_of_vowles,ratio_of_consonants,starts_with_vowel,ends_with_vowel,num_uniq_letters,number_of_vowel_digraphs,number_of_consant_digraphs,weighted_vowel_count,consonant_digraph_beginning,consonant_digraph_end
Ed Pednault,False,False,False,True,0.25,0.0,0.4,False,False,10,True,True,19,True,False
Neela Khan,True,False,False,True,1.25,3.0,0.666666666667,False,False,8,True,True,15,False,True
Bir Bhanu,True,False,False,True,0.6,0.5,0.666666666667,False,True,8,False,True,15,False,True
Arlindo Oliveira,False,False,False,True,0.875,0.5,1.25,False,True,12,True,True,59,True,True
Irina Tchoumatchenko,False,False,False,True,0.357142857143,0.4,0.333333333333,False,True,15,True,True,72,True,True
Robert C. Holte,True,True,False,False,1.2,1.0,1.33333333333,False,True,11,False,True,29,False,False
Michele Sebag,True,False,False,True,1.4,1.5,1.33333333333,False,False,11,False,True,31,False,False
Jorg-Uwe Kietz,True,False,True,True,1.6,1.0,2.0,False,False,13,True,True,29,False,False
Yoshifumi Sakai,True,False,False,True,1.8,1.33333333333,2.5,False,True,12,True,True,57,False,False
Thomas E. Kammeyer,False,True,False,False,0.75,0.666666666667,0.8,False,False,13,False,True,47,True,False
Yoav Freund,True,False,False,True,0.666666666667,1.0,0.5,False,False,11,True,True,18,False,True
R. Andrew McCallum,False,True,False,False,0.25,0.0,0.333333333333,False,False,16,False,True,36,True,True
Jonathan Gratch,True,False,False,True,1.33333333333,3.0,1.0,False,False,10,False,True,21,False,True
Margo Guertin,True,False,False,True,0.714285714286,0.666666666667,0.75,False,False,12,True,True,31,False,False
Huw Roberts,True,False,False,True,0.428571428571,0.5,0.4,False,False,11,False,True,13,False,False
Sally Goldman,True,False,False,True,0.714285714286,0.5,0.8,False,False,10,False,True,19,False,False
Bhaskar Dasgupta,False,False,False,True,0.875,0.666666666667,1.0,False,True,12,False,True,43,True,False
Fernando Pereira,True,False,False,True,1.14285714286,0.75,1.66666666667,False,True,10,True,True,62,False,False
Nina Mishra,True,False,False,True,0.666666666667,1.0,0.5,False,True,9,False,True,20,False,False
Wray Buntine,False,False,False,True,0.571428571429,0.333333333333,0.75,False,True,11,False,True,28,True,False
William A. Greene,True,True,False,False,1.16666666667,1.0,1.33333333333,False,True,12,True,True,53,False,True
Yolanda Gil,True,False,False,True,2.33333333333,3.0,2.0,False,False,9,False,True,19,False,False
Chris Drummond,False,False,False,True,0.625,0.5,0.666666666667,False,False,12,False,True,22,True,True
Claude Sammut,False,False,False,True,1.0,1.5,0.75,False,False,10,True,True,29,True,False
Charles X. Ling,False,True,False,False,1.75,2.0,1.66666666667,False,False,14,False,True,19,True,False
Sanjay Jain,True,False,False,True,1.5,1.0,2.0,False,False,8,True,True,22,False,False
Stefan Kramer,False,False,False,True,1.0,1.0,1.0,False,False,10,False,True,26,True,True
Cristina Baroglio,False,False,False,True,1.0,0.75,1.25,False,True,12,True,True,67,True,False
Dwight Schrute,True,False,False,True,0.857142857143,0.5,1.0,False,True,12,False,True,26,True,True
Leslie Pack Kaelbling,True,False,False,False,0.666666666667,1.0,0.5,False,False,14,True,True,63,False,False
Philip Chan,False,False,False,True,1.5,2.0,1.33333333333,False,False,9,False,True,15,True,True
Yishay Mansour,True,False,False,True,0.857142857143,0.666666666667,1.0,False,False,12,True,True,36,False,False
Michael I. Jordan,True,True,False,False,1.16666666667,1.5,1.0,False,False,15,True,True,37,False,False
Patrick M. Murphy,True,True,False,False,1.16666666667,2.0,1.0,False,False,14,False,True,17,False,False
Karsten Verbeurgt,True,False,False,True,0.777777777778,0.666666666667,0.833333333333,False,False,12,True,True,40,False,False
Attilio Giordana,False,False,False,True,0.875,0.75,1.0,False,True,11,True,True,61,True,False
Gerald F. DeJong,True,True,False,False,1.0,1.0,1.0,False,False,14,False,True,28,False,False
Thomas Zeugmann,False,False,False,True,0.75,0.666666666667,0.8,False,False,12,True,True,35,True,False
Mandayam T. Suraj,True,True,False,False,1.6,1.5,1.66666666667,False,False,13,False,True,39,False,False
Michael Littman,True,False,False,True,1.0,1.5,0.8,False,False,12,True,True,32,False,False
Shaul Markovitch,False,False,False,True,0.5,0.666666666667,0.428571428571,False,False,14,True,True,34,True,False
Eric Allender,False,False,False,True,0.5,0.5,0.5,False,False,10,False,True,21,True,True
Cullen Schaffer,True,False,False,True,0.75,1.0,0.666666666667,False,False,12,False,True,28,False,True
Roberto Piola,True,False,False,True,1.4,1.0,2.0,False,True,11,True,True,41,False,False
Nader Bshouty,True,False,False,True,0.714285714286,1.0,0.6,False,False,13,True,True,23,False,True
Bruce A. MacDonald,False,True,False,False,0.555555555556,0.666666666667,0.5,False,False,15,False,True,44,True,False
Kamal M. Ali,True,True,False,False,1.66666666667,2.0,1.5,False,True,9,False,True,15,False,True
Foster J. Provost,True,True,False,False,0.857142857143,1.0,0.8,False,False,11,False,True,31,False,True
Wolfgang Janko,True,False,False,True,1.6,1.0,2.0,False,True,10,False,True,29,False,False
Seth Flanders,True,False,False,True,0.5,0.5,0.5,False,False,12,False,True,18,False,True
Peter Bartlett,True,False,False,True,0.625,1.0,0.5,False,False,8,False,True,22,False,False
Craig Knoblock,False,False,False,True,0.625,1.0,0.5,False,False,13,True,True,24,True,True
