Alexander M. Meystel, - 
Alma Whitten, - 
Ameur Foued, - 
Andrew W. Moore, - 
Andrew Y. Ng, - 
Andrey Burago, - 
Anselm Blumer, - 
Antoine Cornuejols, - 
Arlindo Oliveira, - 
Armand Prieditis, - 
Arun Sharma, - 
Attilio Giordana, - 
Avrim Blum, - 
Bhaskar Dasgupta, - 
Bradley L. Whitehall, - 
Brian D. Davidson, - 
Brian Tester, - 
Bruce A. MacDonald, - 
Charles X. Ling, - 
Chen K. Tham, - 
Chidanand Apte, - 
Chris Darken, - 
Chris Drummond, - 
Chun-Nan Hsu, - 
Claire Cardie, - 
Clare Bates Congdon, - 
Claude Sammut, - 
Claudio Facchinetti, - 
Craig Knoblock, - 
Craig Nevill-Manning, - 
Cristina Baroglio, - 
Drago Indjic, - 
Eddy Mayoraz, - 
Ed Pednault, - 
Efim Kinber, - 
Emanuel Knill, - 
Eric Allender, - 
Eric Baum, - 
Eyal Kushilevitz, - 
Frank Stephan, - 
Glenn Silverstein, - 
Grigoris Karakoulas, - 
Irina Tchoumatchenko, - 
J. Jeffrey Mahoney, - 
J. R. Quinlan, - 
Jyrki Kivinen, - 
Klaus P. Jantke, - 
Krishnan Pillaipakkamnatt, - 
L. Thorne McCarty, - 
Lyle H. Ungar, - 
Michael Scott, - 
Myriam Abramson, - 
Oded Maron, - 
Olivier De Vel, - 
Philip Chan, - 
Phil Long, - 
Prasad Tadepalli, - 
Priscilla Rasmussen, - 
R. Andrew McCallum, - 
R. Bharat Rao, - 
Scott E. Decatur, - 
Shai Ben-David, - 
Shaul Markovitch, - 
Sholom Weiss, - 
Sreerama K. Murthy, - 
Sridhar Mahadevan, - 
Stan Matwin, - 
Stefan Kramer, - 
Steffen Lange, - 
Stephen Kwek, - 
Stephen Muggleton, - 
Steve A. Chien, - 
Steven Minton, - 
Steven Salzberg, - 
Steven W. Norton, - 
Stuart Russell, - 
Thomas E. Kammeyer, - 
Thomas Ellman, - 
Thomas G. Dietterich, - 
Thomas G. Spalthoff, - 
Thomas Wengerek, - 
Thomas Zeugmann, - 
Usama Fayyad, - 
Wray Buntine, - 
Zhixiang Chen, - 
Aaron Feigelson, + 
Andy Bernard, + 
Aurora Perez, + 
Bala Kalyanasundaram, + 
Barak A. Pearlmutter, + 
Bernhard Pfahringer, + 
Bill Byrne, + 
Bir Bhanu, + 
Bob Evans, + 
Carla E. Brodley, + 
Carl H. Smith, + 
Creed Bratton, + 
Cullen Schaffer, + 
Dana Angluin, + 
Dana Ron, + 
Daniel Hennessy, + 
Daniel Kortenkamp, + 
Daniel L. Silver, + 
Dan Oblinger, + 
Dan Roth, + 
Darko Zupanic, + 
David B. Skalak, + 
David Cohn, + 
David Finton, + 
David Gillman, + 
David Haussler, + 
David Helmbold, + 
David Loewenstern, + 
David Mathias, + 
David Montgomery, + 
David Pierce, + 
David W. Aha, + 
David W. Opitz, + 
Dennis F. Kibler, + 
Diana Gordon, + 
Donna Slonim, + 
Dunja Mladenic, + 
Dwight Schrute, + 
Earl S. Harris Jr., + 
Fernando Pereira, + 
Filippo Neri, + 
Foster J. Provost, + 
Gary M. Selzer, + 
Gary Weiss, + 
Geoffrey Gordon, + 
George A. Drastal, + 
George Berg, + 
George H. John, + 
Gerald F. DeJong, + 
Hal Duncan, + 
Haralabos Athanassiou, + 
Harris Drucker, + 
Haym Hirsh, + 
Hiroshi Motoda, + 
Hiroshi Tanaka, + 
Holly Yanco, + 
Huw Roberts, + 
James S. Royer, + 
Janusz Wnek, + 
Jason Catlett, + 
Javed Aslam, + 
Jean-Daniel Zucker, + 
Jean Gabriel Ganascia, + 
Jeffery Clouse, + 
Jeff Jackson, + 
Jiarong Hong, + 
Jing Peng, + 
Joel Ratsaby, + 
Joe Suzuki, + 
Johanne Morin, + 
Johannes Furnkranz, + 
John Case, + 
John Fischer, + 
John M. Zelle, + 
John Rachlin, + 
John R. Rose, + 
Jonathan Gratch, + 
Jonathan Hodgson, + 
Jong-Hoon Oh, + 
Jorg-Uwe Kietz, + 
Jose L. Balcazar, + 
Joseph O'Sullivan, + 
Jude Shavlik, + 
Judy A. Franklin, + 
Justin Boyan, + 
Justinian Rosca, + 
Kamal M. Ali, + 
Kan Deng, + 
Karsten Verbeurgt, + 
Kate Goelz, + 
Kazushi Ikeda, + 
Kenji Yamanishi, + 
Ken Lang, + 
Kimmen Sjolander, + 
Lance Fortnow, + 
Lance Riley, + 
Lars Asker, + 
Leonard Pitt, + 
Leslie Grate, + 
Leslie Pack Kaelbling, + 
